station,date,report_type,source,hourlydewpointtemperature,hourlyprecipitation,hourlypressurechange,hourlyrelativehumidity,hourlyvisibility,hourlywindspeed,date_time,precipitation_lag_3h,precipitation_ma_24h,precipitation_ma_5d
USW00093862,2019-01-01T00:00:00,SOD,,,0.0,,,,,2018-12-31 18:00:00-06:00,,0.0,0.0
USW00093862,2019-01-01T00:00:00,SOM,,,0.0,,,,,2018-12-31 18:00:00-06:00,,0.0,0.0
USW00093862,2019-01-01T00:53:00,FM-15,343.0,51.0,0.0,,90.0,10.00,0.0,2018-12-31 18:53:00-06:00,,0.0,0.0
USW00093862,2019-01-01T01:34:00,FM-16,343.0,51.0,0.0,,90.0,10.00,0.0,2018-12-31 19:34:00-06:00,,0.0,0.0
USW00093862,2019-01-01T01:51:00,FM-16,343.0,52.0,0.0,,94.0,10.00,5.0,2018-12-31 19:51:00-06:00,,0.0,0.0
USW00093862,2019-01-01T01:53:00,FM-15,343.0,51.0,0.0,,90.0,10.00,5.0,2018-12-31 19:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T02:53:00,FM-15,343.0,50.0,0.0,0.04,93.0,10.00,5.0,2018-12-31 20:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T03:53:00,FM-15,343.0,48.0,0.0,0.04,93.0,10.00,3.0,2018-12-31 21:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T04:53:00,FM-15,343.0,48.0,0.0,0.04,93.0,10.00,5.0,2018-12-31 22:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T05:53:00,FM-15,343.0,47.0,0.0,0.04,89.0,10.00,5.0,2018-12-31 23:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T06:04:00,FM-16,343.0,47.0,0.0,0.04,89.0,10.00,5.0,2019-01-01 00:04:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T06:21:00,FM-16,343.0,46.0,0.0,0.04,90.0,10.00,5.0,2019-01-01 00:21:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T06:51:00,FM-16,343.0,46.0,0.0,0.04,94.0,10.00,6.0,2019-01-01 00:51:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T06:53:00,FM-15,343.0,47.0,0.0,0.04,93.0,10.00,6.0,2019-01-01 00:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T07:37:00,FM-16,343.0,46.0,0.0,0.04,90.0,10.00,6.0,2019-01-01 01:37:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T07:48:00,FM-16,343.0,46.0,0.0,0.04,88.0,10.00,7.0,2019-01-01 01:48:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T07:53:00,FM-15,343.0,47.0,0.0,0.04,89.0,10.00,8.0,2019-01-01 01:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T08:53:00,FM-15,343.0,48.0,0.0,0.04,86.0,10.00,10.0,2019-01-01 02:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T09:53:00,FM-15,343.0,48.0,0.0,0.04,83.0,10.00,9.0,2019-01-01 03:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T10:53:00,FM-15,343.0,47.0,0.0,0.04,77.0,10.00,7.0,2019-01-01 04:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T11:53:00,FM-15,343.0,48.0,0.0,-0.01,77.0,10.00,3.0,2019-01-01 05:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T12:21:00,FM-16,343.0,47.0,0.0,-0.01,74.0,10.00,3.0,2019-01-01 06:21:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T12:53:00,FM-15,343.0,47.0,0.0,-0.01,74.0,10.00,7.0,2019-01-01 06:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T13:53:00,FM-15,343.0,47.0,0.0,-0.01,72.0,10.00,6.0,2019-01-01 07:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T14:53:00,FM-15,343.0,46.0,0.0,0.02,75.0,10.00,10.0,2019-01-01 08:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T15:53:00,FM-15,343.0,45.0,0.0,0.02,74.0,10.00,10.0,2019-01-01 09:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T16:27:00,FM-16,343.0,45.0,0.0,0.02,77.0,10.00,10.0,2019-01-01 10:27:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T16:53:00,FM-15,343.0,44.0,0.0,0.02,77.0,10.00,8.0,2019-01-01 10:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T17:08:00,FM-16,343.0,44.0,0.0,0.02,77.0,10.00,8.0,2019-01-01 11:08:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T17:20:00,FM-16,343.0,44.0,0.0,0.02,80.0,10.00,7.0,2019-01-01 11:20:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T17:53:00,FM-15,343.0,44.0,0.0,0.02,80.0,10.00,7.0,2019-01-01 11:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T18:53:00,FM-15,343.0,43.0,0.0,0.02,83.0,10.00,7.0,2019-01-01 12:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T19:53:00,FM-15,343.0,43.0,0.0,0.02,86.0,10.00,7.0,2019-01-01 13:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T20:03:00,FM-16,343.0,43.0,0.0,0.02,86.0,10.00,7.0,2019-01-01 14:03:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T20:53:00,FM-15,343.0,42.0,0.0,0.03,80.0,10.00,7.0,2019-01-01 14:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T21:53:00,FM-15,343.0,42.0,0.0,0.03,83.0,10.00,8.0,2019-01-01 15:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T22:53:00,FM-15,343.0,42.0,0.0,0.03,83.0,10.00,9.0,2019-01-01 16:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-01T23:53:00,FM-15,343.0,42.0,0.0,0.0,83.0,10.00,9.0,2019-01-01 17:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-02T00:00:00,SOD,343.0,42.0,0.0,0.0,83.0,10.00,9.0,2019-01-01 18:00:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-02T00:53:00,FM-15,343.0,42.0,0.0,0.0,83.0,10.00,9.0,2019-01-01 18:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-02T01:53:00,FM-15,343.0,42.0,0.0,0.0,83.0,10.00,8.0,2019-01-01 19:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-02T02:53:00,FM-15,343.0,42.0,0.0,-0.03,83.0,10.00,8.0,2019-01-01 20:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-02T03:53:00,FM-15,343.0,42.0,0.0,-0.03,83.0,10.00,7.0,2019-01-01 21:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-02T04:53:00,FM-15,343.0,42.0,0.0,-0.03,83.0,10.00,7.0,2019-01-01 22:53:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-02T05:51:00,FM-16,343.0,43.0,0.0,-0.03,87.0,5.00,9.0,2019-01-01 23:51:00-06:00,0.00,0.0,0.0
USW00093862,2019-01-02T05:53:00,FM-15,343.0,42.0,0.01,0.03,86.0,5.00,8.0,2019-01-01 23:53:00-06:00,0.00,0.0004166666666666667,0.0002173913043478261
USW00093862,2019-01-02T06:53:00,FM-15,343.0,43.0,0.04,0.03,89.0,5.00,6.0,2019-01-02 00:53:00-06:00,0.00,0.0020833333333333333,0.0010638297872340426
USW00093862,2019-01-02T07:53:00,FM-15,343.0,43.0,0.04,0.03,89.0,6.00,0.0,2019-01-02 01:53:00-06:00,0.00,0.00375,0.001875
USW00093862,2019-01-02T08:07:00,FM-16,343.0,43.0,0.04,0.03,89.0,5.00,3.0,2019-01-02 02:07:00-06:00,0.01,0.005416666666666667,0.002653061224489796
USW00093862,2019-01-02T08:17:00,FM-16,343.0,43.0,0.04,0.03,89.0,5.00,6.0,2019-01-02 02:17:00-06:00,0.04,0.007083333333333334,0.0034000000000000002
USW00093862,2019-01-02T08:53:00,FM-15,343.0,43.0,0.01,0.02,89.0,5.00,3.0,2019-01-02 02:53:00-06:00,0.04,0.0075,0.003529411764705882
USW00093862,2019-01-02T09:53:00,FM-15,343.0,43.0,0.0,0.02,86.0,4.00,6.0,2019-01-02 03:53:00-06:00,0.04,0.0075,0.003461538461538461
USW00093862,2019-01-02T10:53:00,FM-15,343.0,44.0,0.0,0.02,90.0,4.00,6.0,2019-01-02 04:53:00-06:00,0.04,0.0075,0.0033962264150943396
USW00093862,2019-01-02T11:53:00,FM-15,343.0,44.0,0.0,-0.06,90.0,5.00,8.0,2019-01-02 05:53:00-06:00,0.01,0.0075,0.003333333333333333
USW00093862,2019-01-02T12:53:00,FM-15,343.0,44.0,0.0,-0.06,86.0,5.00,5.0,2019-01-02 06:53:00-06:00,0.00,0.0075,0.0032727272727272726
USW00093862,2019-01-02T13:53:00,FM-15,343.0,44.0,0.0,-0.06,90.0,6.00,6.0,2019-01-02 07:53:00-06:00,0.00,0.0075,0.0032142857142857142
